,MG_1_1,MG_1_2,MG_1_3,Br3_1_1,Br3_1_2,Br3_1_3,Br7_1_1,Br7_1_2,Br7_1_3,Br10_1_1,Br10_1_2,Br10_1_3,Br15_1_1,Br15_1_2,Br15_1_3,QC1,QC2,QC3
Label,MG,MG,MG,Br3,Br3,Br3,Br7,Br7,Br7,Br10,Br10,Br10,Br15,Br15,Br15,QC,QC,QC
CNP0432135,73442,97618,291216,75926,5123,188536,53610,33659,281118,149228,18343,149888,124007,172633,78331,84620,106550,106661
"5-(Benzoylamino)-1,3-benzenedicarboxylic acid",0,0,0,27220,0,0,173210,114956,37385,383665,256890,264819,759438,1116619,808989,53158,51534,42144
Kaempferol,45481,44891,63258,88003,138387,136518,338688,195283,178428,419986,314186,215686,458267,480036,534362,38542,16212,47215
Valinoctin B,359677,611981,1162774,0,1116033,0,744315,941328,805156,0,957168,48889,508302,667258,68189,38510,442869,445905
{5-[(6-ethoxy-6-oxohexyl)amino]pentyl}carbamic acid,359677,54851,1162774,994393,90497,806611,84603,941328,805156,903455,100574,759889,508302,108255,715795,421637,442869,445905
Ophthalmic acid,431777,660814,344263,89667,0,0,0,60666,71079,0,72438,0,61738,0,69247,0,231591,171747
PubChem_18625291,0,0,0,932925,85433,568085,530295,1545453,358433,556494,612010,468909,185291,417085,513128,160817,140019,175581
Leucyl-Tyrosine,329698,37536,267079,408272,11076,493936,13115,4014,139878,221038,5035,293499,379972,8587,237122,419109,232258,634497
2-[(7-chloroquinolin-4-yl)amino]benzoic acid,0,0,0,0,0,0,0,25772,0,0,0,0,0,0,0,12581,16087,27080
PubChem_134675195,0,0,0,4045925,1171333,2982541,4126260,4288910,5209542,1713132,3181121,4203965,4399696,4000896,4060734,3657316,4261958,3896277
Glutathione,0,0,24263,140230,54014,184324,106596,533091,267863,1210354,130268,566600,707410,634817,791034,113867,107752,122166
N-Acetylhistamine,259285,0,445777,328003,0,180838,390649,13516,407405,724438,86426,792838,131267,6334,215752,188306,194028,197884
cis-Resveratrol 3-sulfate,66195,2968,48301,94144,14122,59805,169282,51145,147470,195663,26441,146398,620232,135362,268639,107606,99977,135402
UNPD7601,17287,46372,30757,37229,77310,19520,424765,253300,64213,903198,449899,452581,1854695,1112170,662533,21020,52222,56362
naphthalen-1-yl (2S)-2-acetamido-4-methylsulfanylbutanoate,78480,193008,210314,0,208491,0,336876,485609,192132,7333,275594,33766,415226,654766,14980,19172,162103,130737
"(S,E)-Zearalenone",18568,0,28290,190475,0,190450,15029,0,14956,172842,0,82182,55075,0,50118,118005,30817,54300
"trans-3,3',4',5,5',7-Hexahydroxyflavanone",0,0,98904,0,0,47779,0,0,0,0,0,0,0,18457,0,83831,79181,76420
(Z)-3-(9-octadecenylamino)propiononitrile,28546,0,0,368910,1741396,32117,561680,491193,599769,1151694,0,1467148,1503629,1331893,1310172,1528824,1573522,1637764
3-Hydroxy-4-isopropylbenzyl alcohol 3-glucoside,0,0,0,0,0,0,27787,59855,0,0,45244,3665,108254,657801,65833,5824,132217,5117
PubChem_159843436,1156328,179196,493767,2071248,1023923,3320018,2390622,2623040,2284204,36682,493669,70223,0,109212,153654,57915,51236,99325
Xylarianaphthol-1,0,0,0,0,0,0,0,0,0,0,0,0,511063,67150,150370,84686,78082,89321
MG(16:0/0:0/0:0),0,0,0,136426,70454,44922,627891,482532,52038,1094732,832915,565080,1130554,762284,1498692,54305,32065,31099
Arphamenin B;Arphamenine B,73544,0,28316,0,0,16278,0,0,0,0,0,0,22085,0,0,220496,218559,233204
CNP0449049,22009,14730,0,0,14792,0,76549,75843,0,29862,0,0,22251,75715,62668,31576,26242,45723
4-Hydroxynornantenine,0,0,0,1083850,934011,832138,1069775,948764,896690,789654,276167,550257,72859,192553,94648,35977,51460,38564
Myzodendrone,0,0,0,0,0,10848,81066,131006,0,7286,171100,6608,206628,2001024,80620,9612,191878,31991
"MG(18:4(6Z,9Z,12Z,15Z)/0:0/0:0)",19663,22320,21267,28666,55920,48192,108193,111995,142556,124064,394252,235270,110249,61078,72288,0,228528,22709
9-(beta-D-Ribofuranosyl)zeatin,13582,242532,25878,0,242102,0,396201,444336,189596,4034,353645,0,5672,584129,12577,7050,47794,21934
"MG(18:3(9Z,12Z,15Z)/0:0/0:0)",290451,13152,23673,0,0,0,41553,0,0,20106,0,0,173051,90546,57409,14153,20550,24248
UNPD149742,0,17951,0,84444,70762,67269,238110,168548,117485,241966,208826,108365,368591,362589,326346,56002,41843,69062
Niazimicin A,0,0,0,0,0,0,0,0,0,135215,127895,0,1531242,1237909,341014,229144,537764,235025
"Retusin(Ariocarpus);Quercetin 3,7,3',4'-tetramethyl ether;Retusine;5-Hydroxy-3,7,3',4'-tetramethoxyflavone;2-(3,4-Dimethoxyphenyl)-5-hydroxy-3,7-dimethoxy-4H-1-benzopyran-4-one",0,0,0,0,15683,0,132614,55467,39533,53964,46533,50357,19082,18026,40730,24629,25935,42445
"N-[[4-[2-(dimethylamino)ethoxy]phenyl]methyl]-3,4-dimethoxybenzamide",87197,99397,147927,20334,54671,59635,49100,55853,139693,39417,63368,64375,0,0,0,14751,26988,22906
"(2R,3R,4R,5R)-5-(6-amino-6-cyclohexyl-8H-purin-9-yl)-2-(hydroxymethyl)-4-methoxyoxolan-3-ol",26192,15974,14196,35515,15513,0,108406,87500,37780,142856,90201,86782,426124,594751,295399,41741,48953,26481
"2-{[(3,4-dichlorophenyl)carbamoyl]amino}ethyl N-phenylcarbamate",0,0,0,0,0,0,164363,3870,24787,104669,6419,62166,593033,145563,310451,20949,22013,52969
"3, 5-Tetradecadiencarnitine",16609,38272,0,91958,54259,65813,1622475,622213,107601,1486918,508139,442931,1495247,1817872,3985866,15642,51538,46246
2-(10-Heptadecenyl)-6-hydroxybenzoic acid,36626,16373,0,19145,11304,12364,0,19335,30302,74617,53483,71205,14431,0,44477,11942,0,13362
4-bromo-N-(2-phenazinyl)benzamide,0,0,0,0,0,0,158874,146509,0,156458,64926,49563,467952,619262,329832,18829,137747,153480
Cys-Lys-Lys,0,0,0,0,0,0,0,12405,0,48072,0,16059,616941,494084,252337,18777,38415,57348
UNPD177949,211123,242374,98387,0,227238,0,421933,363356,327146,82178,500530,23762,383831,2674854,119054,8955,290072,36202
UNPD177949.1,0,0,0,65395,20845,39299,0,4698,52869,174634,0,118649,388484,67675,196654,138513,213457,213615
"3-[[(1S)-2,2-difluoro-1-hydroxy-7-methylsulfonyl-1,3-dihydroinden-4-yl]oxy]-5-fluorobenzonitrile",0,0,0,3710,15970,4472,105431,95137,72700,28454,236912,124920,927911,1392974,469163,34027,36399,43965
N-benzyl-9-(alpha-D-glucosyl)adenine,0,0,15229,0,0,13655,82105,0,0,83892,4221,26996,151887,0,40228,74218,75626,50479
1-{[4-hydroxy-5-(hydroxymethyl)-3-[4-(pyridin-2-yl)piperazin-1-yl]oxolan-2-yl]methyl}-3-(propan-2-yl)urea,51075,22459,95273,22769,29225,20449,322306,145567,101043,171183,161982,130964,35290,0,104795,94814,109969,0
5-Dehydroepisterol,53179,248452,28015,0,0,0,0,0,0,0,0,0,0,0,0,91004,105494,102697
"[2-methoxy-4-(3,5,6,7-tetrahydroxy-8aH-chromen-2-yl)phenyl]oxidanesulfonic acid",0,0,54021,59172,0,47695,16024,13982,5786,193839,3896,170043,523472,129287,329954,259050,240759,289859
5-Taurinomethyl-2-thiouridine,0,0,0,43734,0,0,815689,52311,89446,1060996,52749,541253,1970973,452353,1740759,58957,51510,113215
10H-phenothiazine,0,0,0,72302,29198,36617,384444,143822,111286,270496,209169,205902,228376,270476,292276,10608,0,0
"1,1-dioxo-2-[4-[4-(2-pyrimidinyl)-1-piperazinyl]butyl]-1,2-benzothiazol-3-one",158887,173357,240431,7018,236503,6605,230707,312540,158408,5403,195513,154073,185022,241367,202444,22484,97381,86299
7b-Hydroxy-3-oxo-5b-cholanoic acid,15670,0,0,121308,86650,47367,425962,248811,128364,719523,462155,238882,360565,222461,981539,17357,19230,37234
UNPD68941,15467,0,19292,0,0,35845,26757,41857,0,60127,3397,12609,92950,44838,57008,95695,84704,106579
PubChem_8989577,418078,943018,775984,11793,545329,0,983867,787223,626556,12770,548159,111663,429748,1000959,504943,37155,458769,500139
"1,1,1,3,3,3-hexafluoro-2-[3-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)phenyl]propan-2-ol",0,0,0,0,223772,96468,48844,0,33348,0,25837,0,0,0,60723,24477,28176,0
avenastenone,0,0,7311,157128,145779,147269,45770,55410,158392,146134,138215,70053,215962,262361,69102,51755,24721,132764
sacubitril,0,0,0,0,13511,0,0,37982,0,0,11791,0,0,0,0,15885,12070,43357
Methylpicraquassioside A,1028016,1215253,79988,0,1206515,0,1311056,1445810,991811,5214,1166356,10057,71600,1538754,31284,8624,1375270,125329
UNPD155820,36522,16429,69057,123518,5826,58307,49043,25658,0,102596,11045,38282,114213,0,55059,50376,54828,50552
"N-[3-(dimethylamino)propyl]-6-({1H,2H,3H,4H,9H-pyrido[3,4-b]indole-2-carbonyl}amino)hexanamide",12892,28536,20155,65360,24191,14723,99443,21551,19217,94213,83450,62382,103730,96989,21076,23093,72809,51194
"2,2,2-trichloroethyl carbonochloridate",178289,13843,846552,353208,73221,294774,27924,0,261307,0,50970,66707,0,0,0,109655,91047,89642
methyl 2-{[3-(4-chlorophenyl)-4-oxo-2-(trifluoromethyl)-4H-chromen-7-yl]oxy}propanoate,8166,35981,0,0,19759,0,71278,22373,12637,20456,76748,22121,120586,172586,88632,46735,12486,63842
"6-(2-Carboxyethyl)-7-hydroxy-2,2-dimethyl-4-chromanone glucoside",1513546,2314101,1515004,30876,1165195,0,1020525,1502018,789686,26092,1107363,110111,389722,871911,679192,30394,412627,513244
CNP0437648,0,0,0,165947,86606,63863,1184390,745480,87673,661129,473298,528557,406016,485336,1042682,15544,53747,27360
ethyl 3-{7-[2-(4-chlorophenyl)-2-oxoethoxy]-4-methyl-2-oxo-2H-chromen-3-yl}propanoate,0,0,0,65937,0,24803,578745,27019,71845,894347,27454,361106,1505260,203545,1107750,80684,75331,78865
3-(4-bromophenyl)-7-[2-(morpholin-4-yl)ethoxy]-4H-chromen-4-one,0,0,0,0,0,0,28896,0,0,45174,0,7499,300162,325925,36268,137643,176557,166468
5-(acetyloxy)-1-(4-hydroxy-3-methoxyphenyl)decan-3-yl 4-methoxybutanoate,30729,0,0,224321,86125,95663,2892574,1647866,143143,2343104,1115039,1404137,1682785,1941196,1939902,38809,54052,64747
"3-[3-(4-chlorobenzoyl)-2-(3,4-dimethoxyphenyl)-4-hydroxy-5-oxo-2,5-dihydro-1H-pyrrol-1-yl]propanoic acid",0,0,0,89444,0,0,786210,55685,85851,1210335,33093,501892,1927292,166361,1631516,93182,103638,104849
"3-(4-chlorophenyl)-4-[2-(5,7-dihydroxy-4-methyl-2-oxo-2H-chromen-3-yl)acetamido]butanoic acid",0,0,0,0,0,0,786210,475556,85851,79037,586826,27643,473058,1958125,277521,4432,103638,104849
"2-{[4,5-dihydroxy-2-(hydroxymethyl)-6-[(4-methoxyphenyl)amino]oxan-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol",0,0,0,0,0,0,204361,125751,46174,294302,141439,125038,749016,713245,567641,24737,13311,66364
"N-[3-(2H-1,3-benzodioxol-5-yl)-3-phenylpropyl]-N-[(3,4-dimethoxyphenyl)methyl]acetamide",0,0,0,0,0,0,0,0,0,29329,16100,33451,269329,191195,312349,38286,29699,28034
Cichorioside J,0,0,190598,15137,11941,156700,0,0,165156,24252,0,141880,125770,0,162684,44282,46183,33506
UNPD162927,196340,229039,127768,0,234331,14472,149094,279337,155787,18539,277402,7972,156076,129799,6561,11584,256286,228519
"N-(1,3-benzodioxol-5-yl)-2-[[4-(4-methoxyphenyl)-6-(trifluoromethyl)-2-pyrimidinyl]thio]acetamide",0,0,0,373257,56265,38985,1401570,1025989,155218,1132904,618707,1062822,561020,90474,827152,20778,36461,43903
"N-benzyl-13-(2,4-difluorophenyl)-8-methyl-9-oxo-2-oxa-5,8-diazatricyclo[8.4.0.0?,?]tetradeca-1(14),10,12-triene-5-carboxamide",0,68813,78274,7744,222462,0,1684032,1046698,147953,73080,653885,92112,4493550,1996667,335846,37209,156685,44737
LysoSM(d18:0),0,251017,427491,0,173255,273340,0,0,0,106584,0,402822,0,27681,0,128600,0,36538
"2,3,18,19-tetrahydroxy-2,6,11,15,19-pentamethylicosa-6,10,14-trien-1-yl acetate",41773,0,28953,25419,0,47587,188560,382009,228169,307225,481904,1036062,349454,227320,78996,23622,94338,79280
Scorodocarpine C,0,20763,25271,0,0,85506,19082,108322,23882,194781,115366,15448,27134,118229,28516,52311,97003,119110
ethyl 6-bromo-5-(cyclohexanecarbonyloxy)-2-phenyl-1-benzofuran-3-carboxylate,57096,356272,32884,0,352308,0,376735,512440,102674,21903,394046,21297,33264,386018,13277,5794,33751,31203
methyl 2-({4-[4-(dimethylamino)benzoyl]-1-(morpholine-4-carbonyl)piperazin-2-yl}formamido)propanoate,0,0,44917,0,0,0,0,0,0,0,0,0,0,0,0,134208,155925,196202
2-Methoxy-estradiol-17b 3-glucuronide,0,0,82854,0,19015,198469,0,0,180005,0,25141,59203,0,50571,42711,53822,54722,52436
N-[4-hydroxy-5-({4-[3-(trifluoromethyl)phenyl]piperazin-1-yl}methyl)oxolan-3-yl]-4-methoxybenzamide,13954,0,0,87272,4870,155064,16517,203437,3579,407823,40778,150838,611388,515557,406080,91138,4813,87624
UNPD148892,38231,386482,443721,0,0,0,0,0,0,14663,0,17441,0,0,0,45766,52204,79063
"1-[[5-bromo-1-[cyclopropyl(oxo)methyl]-2,3-dihydroindol-7-yl]sulfonyl]-4-piperidinecarboxylic acid ethyl ester",153144,0,0,43732,0,42534,46146,9106,62291,447758,11036,282807,1495979,457210,968299,139945,148493,144651
"N-[[3-(b-D-Glucopyranosyloxy)-2,3-dihydro-2-oxo-1H-indol-3-yl]acetyl]aspartic acid",0,0,0,14902,13077,28321,168256,189407,31897,272826,216992,154998,580806,980164,474403,31851,21829,28839
"N-[[(8S,9R)-6-[(2R)-1-hydroxypropan-2-yl]-8-methyl-5-oxo-10-oxa-1,6,13,14-tetrazabicyclo[10.2.1]pentadeca-12(15),13-dien-9-yl]methyl]-N-methylcarbamic acid (4-methoxyphenyl) ester",249089,212871,104333,4413,342274,0,835737,827486,526931,4653,1141224,30833,26661,66051,56616,15631,435938,176028
Uvidin-A ester 2a,77553,0,0,121103,56505,65999,296316,548497,402184,298998,527863,554088,246151,234508,164480,51797,70927,72631
PubChem_88325122,0,0,0,0,0,0,322944,45240,0,460297,328212,413278,1417264,419928,726167,42966,137228,87430
N-[4-hydroxy-5-({4-[3-(trifluoromethyl)phenyl]piperazin-1-yl}methyl)oxolan-3-yl]-2-(4-methoxyphenyl)acetamide,0,0,0,0,0,0,46574,0,20662,206309,0,58954,1660643,94546,640176,119537,106781,103548
4-(2-azaniumylethyl)-12-cyclohexyl-7-pentyl-3-(2-phenylethyl)dodec-9-enoate,14944,17546,0,0,19763,0,0,0,0,0,0,0,0,0,0,26510,17935,21552
"N,N-dicyclohexyl-7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamide",0,0,0,0,0,0,180642,0,0,475892,265456,325752,1722333,370605,810971,43948,26777,106466
Ganoderiol G,172008,100115,73131,130515,49558,100970,202600,342675,293089,322597,518791,725895,153929,146771,133476,7699,131165,75942
R1-Barrigenol,57636,54287,64963,19446,15745,5844,102657,332473,257204,200763,1224358,739874,101418,91181,157912,21661,294164,142211
Fasciculol C,6602,0,17033,94436,19570,63376,493321,804372,460616,471291,716416,968450,347185,239160,187524,41483,106130,69816
UNPD196847,0,0,0,0,0,0,126864,8464,0,22745,62437,26013,0,40797,28467,62953,48895,81916
Pseudellone C,72216,159141,100502,0,177915,80774,0,347086,0,36225,62350,50103,0,0,62254,43267,33360,13727
"3-(2-amino-1,4,5,6-tetrahydropyrimidin-4-yl)-7-(2-phenylethenyl)-4-[(1H-pyrrol-2-yl)amino]pentadec-2-enoic acid",19064,75095,67487,0,100049,32392,0,0,28308,0,0,0,0,0,0,23798,32976,72332
Purothionin AII,0,0,0,0,0,0,6934,0,0,0,0,0,0,0,0,142437,142206,57462
1-{2-[3-(cyclopentyloxy)-4-hydroxyphenyl]ethyl}-3-hydroxy-4-(6-phenylhexyl)cyclohexyl acetate,27222,46175,39573,47316,0,76693,197107,337810,213907,376354,656525,775833,261755,181846,101700,89898,240831,100883
UNPD62769,258675,100045,41069,72016,43506,663350,362928,73967,540564,288508,620513,506745,163565,32488,204908,29619,39792,69969
"N-(3,4,5-trimethoxy-14-{[3-(4-methylpiperazin-1-yl)propyl]amino}-13-oxotricyclo[9.5.0.0?,?]hexadeca-1(16),2(7),3,5,11,14-hexaen-10-yl)acetamide",261695,677261,735365,0,114409,0,0,0,0,0,0,0,0,0,0,8365,208442,192919
3alpha-Acetomethoxy-11alpha-oxo-12-ursen-24-oic acid,410489,564296,507228,186082,176465,118397,102357,117432,188150,83275,139319,131717,48662,44431,38790,38161,103329,0
N-lignoceroyl-5-hydroxytryptamide,0,104246,130908,0,0,282281,0,0,21179,1900840,31709,0,0,0,0,31688,47908,16863
Kukoamine A,2754665,4083578,5175156,10423,4512370,23260,3925518,3838537,3298766,15334,2606137,117365,527688,4200468,103153,13214,937427,912812
"2-{[1-(5,6-dimethylhept-3-en-2-yl)-9a,11a-dimethyl-hexadecahydro-1H-cyclopenta[a]phenanthren-7-yl]oxy}oxane-3,4,5-triol",259323,108585,103002,76005,78258,134687,260659,344520,250427,283993,441501,598802,397968,429536,211195,24933,43499,77987
Limocitrol 3-glucoside,102589,0,233196,622590,50586,410081,338693,929960,478385,1480499,167678,961114,575816,175679,962936,235772,238947,295337
Cer(d18:0/16:0),144482,99998,153327,17904,0,0,57311,65476,449957,275064,31839,107692,53183,158570,52130,268427,45315,83359
"N-[(3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]hexanamide",29550,0,40455,35644,17352,38125,252653,714805,359206,522900,526032,811268,870480,697395,386002,99702,101361,115631
PubChem_142312303,0,26004,42347,121418,131931,42821,234433,225549,69406,256962,148106,187039,545439,490869,302315,23399,22271,0
"DG(18:3(6Z,9Z,12Z)/14:1(9Z)/0:0)",0,0,13697,53700,0,65957,429895,1033135,353704,320452,611558,722287,334775,408149,183920,24341,50284,29007
UNPD2501,0,0,0,1476470,2023783,1576266,2237616,917688,2506853,199106,538253,510183,0,0,50520,0,30897,83911
UNPD141534,54255,42535,8239,114450,41516,110214,480107,562543,383661,538467,971950,1018209,300087,257380,206071,30817,191864,107872
PubChem_138609281,0,17824,0,34146,172514,93852,61852,340356,251114,39703,205496,60773,64056,381697,99280,624809,215615,35265
Ouabain,68859,46010,68314,60492,15390,32053,155104,107876,83296,153296,129043,167095,516498,469593,208881,50530,57900,37889
PubChem_3015745,0,0,0,0,0,0,34384,85940,0,54999,36068,30063,336456,282941,207666,30293,34912,51621
UNPD91555,81333,18860,77942,67321,85438,106211,189933,608357,651907,449093,1098496,1074254,113165,83431,5592,72434,169907,116330
cis-Reticulatacin-10-one,61320,0,0,18758,0,34165,112040,170574,44234,59567,357442,250933,4374,0,55530,29951,204989,66856
trans-1-(1-oxohexadecyl)-4-[(1-oxohexadecyl)oxy]-L-proline,0,0,0,562186,2375079,511576,2344587,3851329,561137,1140070,1671556,421111,417269,317662,741617,804988,1319215,2672082
trans-1-(1-oxohexadecyl)-4-[(1-oxohexadecyl)oxy]-L-proline.1,15101,116142,37806,461820,3898098,584006,6102221,7072796,2114134,1877597,2624688,1072990,944416,1234324,1744362,2603015,2270502,4442203
O-oleoylanandamide,0,0,0,0,0,0,145189,96708,0,88166,62463,118305,146382,170559,241964,20013,37017,6657
UNPD153626,42566,141342,0,18825,376113,489271,55311,190464,137612,646909,538297,1324671,737950,666932,135625,105014,160595,200545
UNPD42523,0,0,0,0,0,0,185676,123111,30950,483936,408809,368945,142841,135273,197577,44883,47402,82163
PubChem_122208670,0,0,0,0,0,0,114419,149687,93404,224433,141601,58313,234874,346718,335565,6941,46327,53409
Squalamine,0,31723,15494,34057,5996,32516,49874,28284,38599,22193,75035,24814,11078,51352,0,44467,5420,28513
tenacibactin J,0,40410,0,0,423952,0,1505624,1412029,571646,405725,447506,221537,245997,859854,601663,570380,298332,534315
UNPD162072,0,24115,0,92184,611836,7478,1505624,1412029,571646,405725,447506,221537,245997,535603,601663,576558,512192,891237
3-ethoxy-3-oxo-1-phenyl-2-tetradecanamidopropyl tetradecanoate,0,13520,0,0,22401,0,0,0,0,0,0,0,0,0,0,39941,28302,65905
UNPD166301,170751,291891,38666,6663,505609,0,961868,1207581,56172,15112,988369,16017,41239,1664339,18601,7988,13741,17142
UNPD228283,61115,75233,42962,241821,64879,225840,1047008,1482132,347222,591174,834448,1022341,629322,770612,552452,46020,65570,67201
"12-methoxy-14-methyl-34,35-dithia-25-azanonacyclo[18.12.4.1?,??.1??,??.0?,??.0?,??.0?,??.0?,??.0??,??]octatriaconta-10,26,28,30(38)-tetraen-17-yne-10,13,23-triol",0,0,0,75771,21113,15849,3239000,2013373,215157,9655392,5308954,4605028,3754362,2370039,2415105,22207,16691,45793
PubChem_164397199,0,57021,0,5102325,864011,2841982,775074,776283,216556,916130,616861,1235116,703553,210603,1006328,893522,679859,764273
UNPD119267,8759,0,43650,259838,114955,233063,403557,943063,1332799,639661,1283406,869024,850668,698454,132288,60506,151721,202242
UNPD62294,0,0,0,0,0,0,0,26916,0,0,0,0,445781,228228,0,23049,32307,21899
"10-{[5-(2-carboxyeth-1-en-1-yl)-2-hydroxycyclohexyl]methyl}-11-hydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-4a-carboxylic acid",6805,94717,65308,0,103274,98355,0,17358,0,58600,43972,115044,26763,12471,0,63793,20634,72877
"DG(20:4(5Z,8Z,11Z,14Z)/18:3(6Z,9Z,12Z)/0:0)",0,166012,0,6684673,1405433,3497022,1074276,1272261,399937,1334544,854435,1726861,736689,272730,1343211,1342285,973390,1050526
"DG(20:4(5Z,8Z,11Z,14Z)/18:3(6Z,9Z,12Z)/0:0).1",0,419935,25184,2592628,1112781,1624322,1362541,1086932,1015232,1674401,962272,2014962,1171902,879420,1427603,1960850,999635,1018600
"DG(20:4(5Z,8Z,11Z,14Z)/18:3(6Z,9Z,12Z)/0:0).2",30866,196452,0,4946726,1412137,2933537,1712902,1404753,664247,2001923,1124521,2612160,1332502,702462,1814848,2108890,1188095,1243697
UNPD129817,54221,38456,38003,50997,0,0,181965,102794,51700,1741892,210574,95663,222442,54924,145882,22251,63756,30188
"2-[2-({10-acetamido-3,4,5-trimethoxy-13-oxotricyclo[9.5.0.0?,?]hexadeca-1(16),2(7),3,5,11,14-hexaen-14-yl}amino)propanamido]-3-(1H-indol-3-yl)propanoic acid",0,0,0,287216,309513,389973,49129,58219,433234,51496,44536,72383,0,0,33832,40470,32728,0
PubChem_155278300,54567,53587,41648,165356,77187,191864,322269,525175,433857,164729,430156,502108,150560,164994,57568,50150,140533,64630
PubChem_11082844,27957,30113,35761,0,0,0,43217,163640,107463,154002,299013,230116,89629,47211,52918,23832,20849,63120
UNPD108754,119629,318982,87510,0,11725,11297,312794,168046,189053,344931,153277,164497,67888,77537,13657,399333,150768,91087
UNPD13707,13988,48049,19624,5013,19551,118443,212076,492478,343219,120135,297640,335993,218780,257098,94507,113685,31459,30936
PubChem_138266625,0,0,45033,159759,114258,177063,64379,213622,311886,221021,446269,69173,142749,151116,178820,97420,322611,463367
"2-{1-hydroxy-9a,11a-dimethyl-7-oxo-1H,2H,3H,3aH,3bH,4H,5H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-1-yl}-2-oxoethyl 3-{[2-(2,2-dimethyl-4-phenyloxan-4-yl)ethyl]carbamoyl}propanoate",76180,6643,0,30878,24781,74915,255947,560691,392048,505307,788825,704282,240032,207050,215715,178774,244853,227886
PubChem_10818152,11438,15094,0,76827,41295,67129,27531,153180,154643,70227,153898,74219,124795,158500,18556,0,8328,41286
PubChem_142142471,460206,0,0,0,0,0,0,0,0,18729,0,0,0,0,0,75592,54961,37366
Galactosylceramide (d18:1/14:0),0,0,38646,91903,27694,118035,563231,877955,280536,444774,633683,897144,323387,265884,192908,28217,43559,65681
DG(9D5/9D3/0:0),6072,26447,15853,116222,37131,134096,668688,813114,753692,658895,1251801,875520,683262,557519,269939,4807,116547,15819
PubChem_123151509,356734,414398,77047,0,12523,78369,48818,148915,0,77556,100947,286740,36694,0,121622,127921,109820,42975
PubChem_123151509.1,193942,167150,114290,29360,65530,42166,15985,125077,0,179093,339837,235924,69786,0,104256,6175,20369,46455
UNPD212183,276114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37770,104385,97161
PubChem_158972551,0,0,15610,75256,24265,87669,255885,476929,320974,160835,312677,264817,208660,229879,23534,45373,51238,64305
"(2R)-2-hydroxy-N-[(E,2S,3R,6R)-1,3,6-trihydroxyoctadec-4-en-2-yl]tetracosanamide",516960,446454,161338,0,0,0,1104997,1163308,482552,488122,256172,1010268,0,361125,0,1217030,629524,264175
"(2R)-2-hydroxy-N-[(E,2S,3R,6R)-1,3,6-trihydroxyoctadec-4-en-2-yl]tetracosanamide.1",623335,446454,161338,0,0,0,587018,516377,211220,136306,19316,527163,0,122253,0,595828,231840,57194
PubChem_101410147,64626,13925,16551,59015,32079,65414,218014,481365,394470,201231,337184,453712,224568,162613,105930,72771,42507,40437
Thermoactinoamide_H,0,50073,208273,0,498966,426827,191684,401249,339130,789215,633188,1130750,868028,813275,263666,343546,385508,333031
CNP0437464,125976,50110,71243,119491,25967,26292,310162,449913,322291,300720,557977,576344,421101,420321,190143,0,71008,53014
UNPD51187,146931,33291,17857,56950,15501,0,263023,454867,481905,298613,550183,514443,102524,160196,88790,87353,66738,49661
UNPD62356,28183,34252,17962,15582,18885,0,19590,84810,21198,0,29820,33484,14582,13483,36273,15490,0,32261
"N-[1-(1H-1,3-benzodiazol-2-yl)-3-(methylsulfanyl)propyl]-2-({10-acetamido-3,4,5-trimethoxy-13-oxotricyclo[9.5.0.0?,?]hexadeca-1(16),2(7),3,5,11,14-hexaen-14-yl}amino)-4-(methylsulfanyl)butanamide",39785,24921,31993,54833,42596,0,21867,124730,0,69904,74544,61487,88097,82508,64577,66403,30018,59199
"4-(3-aminopropyl)-7'-cyclohexyl-18'-methyl-26'-propyl-3H-3'-oxa-8',14'-diazaspiro[2-benzofuran-1,25'-heptacyclo[19.5.1.1?,??.1??,??.0?,??.0?,??.0??,??]nonacosane]-4',15',21'(27')-triene-2',3-dione",22692,368720,431334,29612,29064,25408,177612,94777,115491,259590,258566,307301,142719,100379,109084,236277,403727,423307
"3-(2-amino-1,4,5,6-tetrahydropyrimidin-4-yl)-5-{16-[3-hydroxy-6-(3-hydroxypropyl)-7-oxoheptyl]-6-(2-oxoethyl)tetracyclo[11.3.1.0?,??.0?,?]heptadeca-2,4,6,8,10,14-hexaen-17-yl}-4-[(1H-pyrrol-2-yl)amino]pent-2-enoic acid",412274,923599,1304916,142031,243155,135599,0,0,95579,0,0,0,0,0,0,22691,53638,25973
4-chloro-N-(2-methoxy-1-phenazinyl)benzamide,2634384,7702274,7036570,19552,5262464,0,7433994,4961604,5884936,0,2399042,119229,0,35500,0,7735,741134,876036
CNP0446534,674778,913147,510489,257361,272560,180932,349537,285867,344349,237074,524577,186929,546298,611418,538994,62475,0,51863
