,MG_1_1,MG_1_2,MG_1_3,Br3_1_1,Br3_1_2,Br3_1_3,Br7_1_1,Br7_1_2,Br7_1_3,Br10_1_1,Br10_1_2,Br10_1_3,Br15_1_1,Br15_1_2,Br15_1_3,QC1,QC2,QC3
Label,MG,MG,MG,Br3,Br3,Br3,Br7,Br7,Br7,Br10,Br10,Br10,Br15,Br15,Br15,QC,QC,QC
N-Undecanoylglycine.1,5455437,5695822,9942963,8334634,5725806,4884925,5040922,4883268,5131188,4801342,4444259,4379234,5848782,5664450,5847862,6176371,6342040,6496607
N-Undecanoylglycine.2,1971368,1654550,1558203,704084,1572320,991778,200277,238015,730924,280418,1069248,520758,91448,82583,118438,2092330,1623859,1589714
N-(dodecanoyl)ethanolamine,348439,832078,494783,221329,215088,1085192,199501,196037,243886,142019,146364,122026,143616,151064,175629,192847,180116,213911
N5-Hexanoylspermidine,2507278,4481714,4468390,3620070,2802880,2703336,3932390,2988039,2732126,2245684,2275948,2445790,1126617,286420,2052653,887885,878642,888682
N5-Hexanoylspermidine.1,2507278,1145730,882340,3620070,872654,2703336,3932390,2988039,2732126,2245684,2275948,2445790,1126617,1096096,2052653,887885,878642,888682
3-(Dodecyloxy)-1-propanamine,9577711,9525438,9624351,9580974,8500685,8390216,9265044,8332359,9927429,9428715,8544245,7850342,10152625,8297414,10430991,8661402,8554863,8604713
3-(Dodecyloxy)-1-propanamine.1,8278640,8307382,8419295,7843453,7561399,7060056,7116806,6748327,7899642,7533752,6784872,6546200,7824224,6645240,7357536,7038912,6788210,6984644
PubChem_88174324.13,2989212,3155769,3646940,3963043,3015252,3473608,3828745,3552736,3669614,4311112,3949682,4441678,4590571,4578198,4641520,3690844,4050394,3942977
"8-bromo-2-(methylsulfanyl)pyrazolo[1,5-a][1,3,5]triazine",6189376,5322335,5220899,5327429,5435840,5144134,5533512,5618517,5877686,5790123,6213176,5711706,5751712,5488580,4826386,4752042,4659065,4811540
Uridine,30336,122201,157018,185517,276582,39644,192391,113551,145660,280690,573033,274761,408924,880506,865156,270435,305247,254109
Uridine.1,766864,1052624,1161702,1359684,1773597,1270230,2171878,2337914,1273872,2738716,2245060,2128306,4518520,3916968,3860345,2233236,2173868,2393418
Uridine.2,3911393,5731011,6877944,7195864,9137215,6663828,10418221,11858999,6559168,13966125,13498445,10050901,19030108,17441136,18519832,9830508,10054359,11272524
Indolylacryloylglycine,167909,952954,1628490,2375400,2951346,3361669,2633275,3862146,2706083,3492696,3693248,4164464,2598757,3825408,2137527,2595970,2694339,2824069
