Score,InChI,FragmenterScore_Values,MaximumTreeDepth,MonoisotopicMass,Identifier,MolecularFormula,InChIKey3,SMILES,FormulasOfExplPeaks,InChIKey2,InChIKey1,FragmenterScore,ExplPeaks,InChIKey,NoExplPeaks,NumberPeaksUsed
0.875863908430928,"InChI=1S/C16H12O5/c1-8-2-9(4-10(17)3-8)12-7-21-14-6-11(18)5-13(19)15(14)16(12)20/h2-7,17-19H,1H3",708.0;348.0;348.0;448.0;808.0;1224.0;1224.0;1584.0,2,284.0684735,549604,C16H12O5,N,Cc1cc(O)cc(-c2coc3cc(O)cc(O)c3c2=O)c1,138.0301971435547:[C7H4O3+H]+H+;213.05343627929688:[C13H9O3]+;214.0615997314453:[C13H9O3]+H+;225.0540313720703:[C14H9O3]+;253.0492401123047:[C15H8O4]+H+;269.0426025390625:[C15H9O5]+;270.0513000488281:[C15H9O5]+H+;271.05804443359375:[C15H9O5+H]+H+,UHFFFAOYSA,XTMPOCRLESHNRO,581.4722591555485,138.0301971435547_37.8;213.05343627929688_189.0;214.0615997314453_229.7;225.0540313720703_348.3;253.0492401123047_343.9;269.0426025390625_140.3;270.0513000488281_999.0;271.05804443359375_157.2,XTMPOCRLESHNRO-UHFFFAOYSA-N,8,21
0.869048598289614,"InChI=1S/C16H12O5/c1-8-6-11(18)7-12-13(8)14(19)15(20)16(21-12)9-2-4-10(17)5-3-9/h2-7,17-18,20H,1H3",708.0;348.0;348.0;448.0;1256.0;1308.0;1408.0;1584.0,2,284.0684735,552407,C16H12O5,N,Cc1cc(O)cc2oc(-c3ccc(O)cc3)c(O)c(=O)c12,138.0301971435547:[C7H3O3+2H]+H+;213.05343627929688:[C13H8O3]+H+;214.0615997314453:[C13H8O3+H]+H+;225.0540313720703:[C14H9O3]+;253.0492401123047:[C15H8O4]+H+;269.0426025390625:[C15H9O5]+;270.0513000488281:[C15H9O5]+H+;271.05804443359375:[C15H9O5+H]+H+,UHFFFAOYSA,GXWOUJYXKRNGPL,576.9476820533649,138.0301971435547_37.8;213.05343627929688_189.0;214.0615997314453_229.7;225.0540313720703_348.3;253.0492401123047_343.9;269.0426025390625_140.3;270.0513000488281_999.0;271.05804443359375_157.2,GXWOUJYXKRNGPL-UHFFFAOYSA-N,8,21
0.8684161372054751,"InChI=1S/C16H12O5/c1-8-11(18)6-14-15(16(8)20)12(19)7-13(21-14)9-2-4-10(17)5-3-9/h2-7,17-18,20H,1H3",708.0;348.0;348.0;448.0;708.0;1584.0;1584.0;1420.0,2,284.0684735,55326,C16H12O5,N,Cc1c(O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O,138.0301971435547:[C7H6O3]+;213.05343627929688:[C13H8O3]+H+;214.0615997314453:[C13H10O3]+;225.0540313720703:[C14H10O3-H]+;253.0492401123047:[C15H8O4]+H+;269.0426025390625:[C15H9O5]+;270.0513000488281:[C15H9O5]+H+;271.05804443359375:[C15H9O5+H]+H+,UHFFFAOYSA,ZLGRXDWWYMFIGI,576.5278010971087,138.0301971435547_37.8;213.05343627929688_189.0;214.0615997314453_229.7;225.0540313720703_348.3;253.0492401123047_343.9;269.0426025390625_140.3;270.0513000488281_999.0;271.05804443359375_157.2,ZLGRXDWWYMFIGI-UHFFFAOYSA-N,8,21
0.864871344676356,"InChI=1S/C16H12O5/c1-8-12(18)6-13-14(15(8)19)16(20)10(7-21-13)9-4-2-3-5-11(9)17/h2-7,17-19H,1H3",708.0;348.0;348.0;448.0;708.0;1584.0;1584.0;1584.0,2,284.0684735,448856,C16H12O5,N,Cc1c(O)cc2occ(-c3ccccc3O)c(=O)c2c1O,138.0301971435547:[C7H6O3]+;213.05343627929688:[C13H8O3]+H+;214.0615997314453:[C13H10O3]+;225.0540313720703:[C14H9O3]+;253.0492401123047:[C15H8O4]+H+;269.0426025390625:[C15H9O5]+;270.0513000488281:[C15H9O5]+H+;271.05804443359375:[C15H9O5+H]+H+,UHFFFAOYSA,VLMKCIGUEJKYJB,574.174469146444,138.0301971435547_37.8;213.05343627929688_189.0;214.0615997314453_229.7;225.0540313720703_348.3;253.0492401123047_343.9;269.0426025390625_140.3;270.0513000488281_999.0;271.05804443359375_157.2,VLMKCIGUEJKYJB-UHFFFAOYSA-N,8,21
0.864871344676356,"InChI=1S/C16H12O5/c1-8-12(18)6-13-14(15(8)19)16(20)11(7-21-13)9-2-4-10(17)5-3-9/h2-7,17-19H,1H3",708.0;348.0;348.0;448.0;708.0;1584.0;1584.0;1584.0,2,284.0684735,476842,C16H12O5,N,Cc1c(O)cc2occ(-c3ccc(O)cc3)c(=O)c2c1O,138.0301971435547:[C7H6O3]+;213.05343627929688:[C13H8O3]+H+;214.0615997314453:[C13H10O3]+;225.0540313720703:[C14H9O3]+;253.0492401123047:[C15H8O4]+H+;269.0426025390625:[C15H9O5]+;270.0513000488281:[C15H9O5]+H+;271.05804443359375:[C15H9O5+H]+H+,UHFFFAOYSA,DPFIBLHIYGLZEN,574.174469146444,138.0301971435547_37.8;213.05343627929688_189.0;214.0615997314453_229.7;225.0540313720703_348.3;253.0492401123047_343.9;269.0426025390625_140.3;270.0513000488281_999.0;271.05804443359375_157.2,DPFIBLHIYGLZEN-UHFFFAOYSA-N,8,21
0.7686353026248685,"InChI=1S/C16H12O5/c17-11-3-1-2-8-6-9-4-5-10(7-12(18)19)15(20)14(9)16(21)13(8)11/h1-5,17,20H,6-7H2,(H,18,19)",1056.0;796.0;696.0;696.0;1572.0;1144.0;1224.0;348.0,2,284.0684735,92811,C16H12O5,N,O=C(O)Cc1ccc2c(c1O)C(=O)c1c(O)cccc1C2,138.0301971435547:[C7H6O3]+;213.05343627929688:[C13H7O3+H]+H+;214.0615997314453:[C13H9O3]+H+;225.0540313720703:[C14H9O3]+;253.0492401123047:[C15H9O4]+;269.0426025390625:[C15H10O5-H]+;270.0513000488281:[C15H10O5]+;271.05804443359375:[C15H10O5]+H+,UHFFFAOYSA,IXLRLZOYKJERRA,510.284875974242,138.0301971435547_37.8;213.05343627929688_189.0;214.0615997314453_229.7;225.0540313720703_348.3;253.0492401123047_343.9;269.0426025390625_140.3;270.0513000488281_999.0;271.05804443359375_157.2,IXLRLZOYKJERRA-UHFFFAOYSA-N,8,21
0.7524101544840712,"InChI=1S/C16H12O5/c17-9-1-2-10-14(4-9)21-7-16(20)6-8-3-12(18)13(19)5-11(8)15(10)16/h1-5,17,19-20H,6-7H2",808.0;796.0;696.0;696.0;1392.0;796.0;696.0;1056.0,2,284.0684735,360665,C16H12O5,N,O=C1C=C2CC3(O)COc4cc(O)ccc4C3=C2C=C1O,138.0301971435547:[C7H6O3]+;213.05343627929688:[C13H10O3-H]+;214.0615997314453:[C13H10O3]+;225.0540313720703:[C14H9O3]+;253.0492401123047:[C15H10O4-H]+;269.0426025390625:[C15H10O5-H]+;270.0513000488281:[C15H10O5]+;271.05804443359375:[C15H10O5]+H+,UHFFFAOYSA,MLWIYODOURBGPI,499.5132555732322,138.0301971435547_37.8;213.05343627929688_189.0;214.0615997314453_229.7;225.0540313720703_348.3;253.0492401123047_343.9;269.0426025390625_140.3;270.0513000488281_999.0;271.05804443359375_157.2,MLWIYODOURBGPI-UHFFFAOYSA-N,8,21
0.7325595610432594,"InChI=1S/C16H12O5/c17-9-1-2-10-14(4-9)21-7-16(20)6-8-3-12(18)13(19)5-11(8)15(10)16/h1-5,18-20H,6-7H2",808.0;796.0;696.0;696.0;1392.0;1056.0;1056.0;1056.0,2,284.0684735,54332,C16H12O5,N,O=C1C=CC2=C3c4cc(O)c(O)cc4CC3(O)COC2=C1,138.0301971435547:[C7H6O3]+;213.05343627929688:[C13H9O3]+;214.0615997314453:[C13H9O3]+H+;225.0540313720703:[C14H9O3]+;253.0492401123047:[C15H10O4-H]+;269.0426025390625:[C15H10O5-H]+;270.0513000488281:[C15H10O5]+;271.05804443359375:[C15H10O5]+H+,UHFFFAOYSA,PGERTGWKXFAEFR,486.3347591167619,138.0301971435547_37.8;213.05343627929688_189.0;214.0615997314453_229.7;225.0540313720703_348.3;253.0492401123047_343.9;269.0426025390625_140.3;270.0513000488281_999.0;271.05804443359375_157.2,PGERTGWKXFAEFR-UHFFFAOYSA-N,8,21
0.7224914466101688,"InChI=1S/C16H12O5/c17-6-11-13(19)4-3-9-12-7-20-14-5-8(18)1-2-10(14)16(12)21-15(9)11/h1-6,12,16,18-19H,7H2",808.0;808.0;708.0;708.0;808.0;1324.0;1224.0;1056.0,2,284.0684735,457313,C16H12O5,N,O=Cc1c(O)ccc2c1OC1c3ccc(O)cc3OCC21,138.0301971435547:[C7H4O3+H]+H+;213.05343627929688:[C13H10O3-H]+;214.0615997314453:[C13H10O3]+;225.0540313720703:[C14H9O3]+;253.0492401123047:[C15H10O4-H]+;269.0426025390625:[C15H10O5-H]+;270.0513000488281:[C15H10O5]+;271.05804443359375:[C15H10O5]+H+,UHFFFAOYSA,FJZRCLCBDONNNU,479.65069645760576,138.0301971435547_37.8;213.05343627929688_189.0;214.0615997314453_229.7;225.0540313720703_348.3;253.0492401123047_343.9;269.0426025390625_140.3;270.0513000488281_999.0;271.05804443359375_157.2,FJZRCLCBDONNNU-UHFFFAOYSA-N,8,21
0.7219986309035157,"InChI=1S/C16H12O5/c17-8-10-11(18)6-12(19)15-13(20)7-14(21-16(10)15)9-4-2-1-3-5-9/h1-6,8,14,18-19H,7H2",1056.0;796.0;696.0;696.0;808.0;1044.0;1044.0;1056.0,2,284.0684735,436817,C16H12O5,N,O=Cc1c(O)cc(O)c2c1OC(c1ccccc1)CC2=O,138.0301971435547:[C7H4O3+H]+H+;213.05343627929688:[C13H9O3]+;214.0615997314453:[C13H9O3]+H+;225.0540313720703:[C14H9O3]+;253.0492401123047:[C15H9O4]+;269.0426025390625:[C15H10O5-H]+;270.0513000488281:[C15H10O5]+;271.05804443359375:[C15H10O5]+H+,UHFFFAOYSA,UDAHPMHAXHYMTM,479.32352386887754,138.0301971435547_37.8;213.05343627929688_189.0;214.0615997314453_229.7;225.0540313720703_348.3;253.0492401123047_343.9;269.0426025390625_140.3;270.0513000488281_999.0;271.05804443359375_157.2,UDAHPMHAXHYMTM-UHFFFAOYSA-N,8,21
