Score,InChI,FragmenterScore_Values,MaximumTreeDepth,MonoisotopicMass,Identifier,MolecularFormula,InChIKey3,SMILES,FormulasOfExplPeaks,InChIKey2,InChIKey1,FragmenterScore,ExplPeaks,InChIKey,NoExplPeaks,NumberPeaksUsed
0.9192077823247,"InChI=1S/C16H12O5/c1-20-13-7-6-11-14(18)12(8-21-16(11)15(13)19)9-2-4-10(17)5-3-9/h2-8,17,19H,1H3",360.0;1684.0;1684.0;1056.0;1156.0,2,284.0684735,443603,C16H12O5,N,COc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1O,197.06126403808594:[C13H7O2+H]+H+;229.08570861816406:[C14H11O3+H]+H+;242.05740356445312:[C14H9O4]+H+;243.06507873535156:[C14H9O4+H]+H+;270.051513671875:[C15H9O5]+H+,UHFFFAOYSA,UQSNZFOTDPKAEZ,369.3226001150745,197.06126403808594_164.5;229.08570861816406_198.6;242.05740356445312_329.6;243.06507873535156_65.6;270.051513671875_999.0,UQSNZFOTDPKAEZ-UHFFFAOYSA-N,5,19
0.9192077823247,"InChI=1S/C16H12O5/c1-20-10-4-2-9(3-5-10)12-8-21-16-11(14(12)18)6-7-13(17)15(16)19/h2-8,17,19H,1H3",360.0;1684.0;1684.0;1056.0;1156.0,2,284.0684735,464573,C16H12O5,N,COc1ccc(-c2coc3c(O)c(O)ccc3c2=O)cc1,197.06126403808594:[C13H10O2-H]+;229.08570861816406:[C14H11O3+H]+H+;242.05740356445312:[C14H9O4]+H+;243.06507873535156:[C14H9O4+H]+H+;270.051513671875:[C15H9O5]+H+,UHFFFAOYSA,DLXIJJURUIXRFK,369.3226001150745,197.06126403808594_164.5;229.08570861816406_198.6;242.05740356445312_329.6;243.06507873535156_65.6;270.051513671875_999.0,DLXIJJURUIXRFK-UHFFFAOYSA-N,5,19
0.9173875111331693,"InChI=1S/C16H12O5/c1-20-11-4-5-12(14(18)8-11)13-6-9-2-3-10(17)7-15(9)21-16(13)19/h2-8,17-18H,1H3",360.0;1932.0;1572.0;1068.0;1168.0,2,284.0684735,435534,C16H12O5,N,COc1ccc(-c2cc3ccc(O)cc3oc2=O)c(O)c1,197.06126403808594:[C13H9O2]+;229.08570861816406:[C14H12O3]+H+;242.05740356445312:[C14H9O4]+H+;243.06507873535156:[C14H9O4+H]+H+;270.051513671875:[C15H9O5]+H+,UHFFFAOYSA,CSQQQDLQNMHAPD,368.5912450261625,197.06126403808594_164.5;229.08570861816406_198.6;242.05740356445312_329.6;243.06507873535156_65.6;270.051513671875_999.0,CSQQQDLQNMHAPD-UHFFFAOYSA-N,5,19
0.9161939726523469,"InChI=1S/C16H12O5/c1-20-13-7-11(18)8-14-15(13)12(16(19)21-14)6-9-2-4-10(17)5-3-9/h2-8,17-18H,1H3",360.0;2032.0;1572.0;1068.0;1168.0,2,284.0684735,398957,C16H12O5,N,COc1cc(O)cc2c1C(=Cc1ccc(O)cc1)C(=O)O2,197.06126403808594:[C13H10O2-H]+;229.08570861816406:[C14H12O3]+H+;242.05740356445312:[C14H9O4]+H+;243.06507873535156:[C14H9O4+H]+H+;270.051513671875:[C15H9O5]+H+,UHFFFAOYSA,RVZXSEMJMMVLJJ,368.1117008539407,197.06126403808594_164.5;229.08570861816406_198.6;242.05740356445312_329.6;243.06507873535156_65.6;270.051513671875_999.0,RVZXSEMJMMVLJJ-UHFFFAOYSA-N,5,19
0.9126449776419272,"InChI=1S/C16H12O5/c1-20-14-5-2-9(6-13(14)18)12-8-21-15-7-10(17)3-4-11(15)16(12)19/h2-8,17-18H,1H3",360.0;1684.0;2020.0;1056.0;1156.0,2,284.0684735,2323,C16H12O5,N,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1O,197.06126403808594:[C13H7O2+H]+H+;229.08570861816406:[C14H11O3+H]+H+;242.05740356445312:[C14H9O4]+H+;243.06507873535156:[C14H9O4+H]+H+;270.051513671875:[C15H9O5]+H+,UHFFFAOYSA,ZZAJQOPSWWVMBI,366.6857729078905,197.06126403808594_164.5;229.08570861816406_198.6;242.05740356445312_329.6;243.06507873535156_65.6;270.051513671875_999.0,ZZAJQOPSWWVMBI-UHFFFAOYSA-N,5,19
0.9126449776419272,"InChI=1S/C16H12O5/c1-20-15-6-11-14(7-13(15)18)21-8-12(16(11)19)9-2-4-10(17)5-3-9/h2-8,17-18H,1H3",360.0;1684.0;2020.0;1056.0;1156.0,2,284.0684735,7432,C16H12O5,N,COc1cc2c(=O)c(-c3ccc(O)cc3)coc2cc1O,197.06126403808594:[C13H7O2+H]+H+;229.08570861816406:[C14H11O3+H]+H+;242.05740356445312:[C14H9O4]+H+;243.06507873535156:[C14H9O4+H]+H+;270.051513671875:[C15H9O5]+H+,UHFFFAOYSA,DXYUAIFZCFRPTH,366.6857729078905,197.06126403808594_164.5;229.08570861816406_198.6;242.05740356445312_329.6;243.06507873535156_65.6;270.051513671875_999.0,DXYUAIFZCFRPTH-UHFFFAOYSA-N,5,19
0.9126449776419272,"InChI=1S/C16H12O5/c1-20-15-6-9(2-5-13(15)18)12-8-21-14-7-10(17)3-4-11(14)16(12)19/h2-8,17-18H,1H3",360.0;1684.0;2020.0;1056.0;1156.0,2,284.0684735,24098,C16H12O5,N,COc1cc(-c2coc3cc(O)ccc3c2=O)ccc1O,197.06126403808594:[C13H7O2+H]+H+;229.08570861816406:[C14H11O3+H]+H+;242.05740356445312:[C14H9O4]+H+;243.06507873535156:[C14H9O4+H]+H+;270.051513671875:[C15H9O5]+H+,UHFFFAOYSA,MUYAUELJBWQNDH,366.6857729078905,197.06126403808594_164.5;229.08570861816406_198.6;242.05740356445312_329.6;243.06507873535156_65.6;270.051513671875_999.0,MUYAUELJBWQNDH-UHFFFAOYSA-N,5,19
0.9126449776419272,"InChI=1S/C16H12O5/c1-20-15-7-14-11(6-13(15)18)16(19)12(8-21-14)9-2-4-10(17)5-3-9/h2-8,17-18H,1H3",360.0;1684.0;2020.0;1056.0;1156.0,2,284.0684735,357821,C16H12O5,N,COc1cc2occ(-c3ccc(O)cc3)c(=O)c2cc1O,197.06126403808594:[C13H7O2+H]+H+;229.08570861816406:[C14H11O3+H]+H+;242.05740356445312:[C14H9O4]+H+;243.06507873535156:[C14H9O4+H]+H+;270.051513671875:[C15H9O5]+H+,UHFFFAOYSA,UXQHNHMMYMGPAH,366.6857729078905,197.06126403808594_164.5;229.08570861816406_198.6;242.05740356445312_329.6;243.06507873535156_65.6;270.051513671875_999.0,UXQHNHMMYMGPAH-UHFFFAOYSA-N,5,19
0.9126449776419272,"InChI=1S/C16H12O5/c1-20-16-13(18)7-6-11-14(19)12(8-21-15(11)16)9-2-4-10(17)5-3-9/h2-8,17-18H,1H3",360.0;1684.0;2020.0;1056.0;1156.0,2,284.0684735,388279,C16H12O5,N,COc1c(O)ccc2c(=O)c(-c3ccc(O)cc3)coc12,197.06126403808594:[C13H7O2+H]+H+;229.08570861816406:[C14H11O3+H]+H+;242.05740356445312:[C14H9O4]+H+;243.06507873535156:[C14H9O4+H]+H+;270.051513671875:[C15H9O5]+H+,UHFFFAOYSA,UBLJWIMJOYYSCU,366.6857729078905,197.06126403808594_164.5;229.08570861816406_198.6;242.05740356445312_329.6;243.06507873535156_65.6;270.051513671875_999.0,UBLJWIMJOYYSCU-UHFFFAOYSA-N,5,19
0.9126449776419272,"InChI=1S/C16H12O5/c1-20-13-7-6-12-14(16(13)19)15(18)11(8-21-12)9-2-4-10(17)5-3-9/h2-8,17,19H,1H3",360.0;1684.0;2020.0;1056.0;1156.0,2,284.0684735,416024,C16H12O5,N,COc1ccc2occ(-c3ccc(O)cc3)c(=O)c2c1O,197.06126403808594:[C13H7O2+H]+H+;229.08570861816406:[C14H11O3+H]+H+;242.05740356445312:[C14H9O4]+H+;243.06507873535156:[C14H9O4+H]+H+;270.051513671875:[C15H9O5]+H+,UHFFFAOYSA,OWOLPTZIAWJNPY,366.6857729078905,197.06126403808594_164.5;229.08570861816406_198.6;242.05740356445312_329.6;243.06507873535156_65.6;270.051513671875_999.0,OWOLPTZIAWJNPY-UHFFFAOYSA-N,5,19
