formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id	featureId
1	C16H16O4	[M + H]+	C16H16O4	10.850537649008093	10.850537649008093	0.0	5	0.04346678361085328	4.198296610060081	4.198296610060081	-0.001655329399206562		273.11213	NaN	1_challenge_0_	N/A
1	C16H14O4	[M + H]+	C16H14O4	3.2199545088065764	3.2199545088065764	0.0	1	0.0	-3.1106743003716915	3.1106743003716915	-0.0016676370645395816		271.09648	NaN	2_challenge_1_	N/A
1	C20H22O7	[M + H]+	C20H22O7	15.77153062492518	15.77153062492518	0.0	3	0.36899027692860276	14.503873964215614	16.392496938253885	-0.0012051125763801486		375.14383	NaN	3_challenge_10_	N/A
1	C16H15NO4	[M + H]+	C16H15NO4	11.452112477133506	11.452112477133506	0.0	9	0.125500013608178	-6.162319326931302	14.356779726421873	-0.0015801428822806423		286.10738	NaN	4_challenge_100_	N/A
1	C20H24O7	[M + H]+	C20H24O7	51.79470667687122	51.79470667687122	0.0	14	0.6618069061771994	-1.475127610975275	2.729206345192929	-0.001198672103910909		377.15948	NaN	5_challenge_101_	N/A
1	C16H19NO3	[M + H]+	C16H19NO3	38.26108594251255	38.26108594251255	0.0	9	0.8600205518157934	-0.9677939819148234	3.765372555462399	-0.0016490999972978819		274.14377	NaN	6_challenge_102_	N/A
1	C20H20O7	[M + H]+	C20H20O7	28.00314556958278	28.00314556958278	0.0	7	0.5537817049622343	-1.2130661423232927	1.9288172334552598	-0.001211622632115816		373.12818	NaN	7_challenge_104_	N/A
1	C37H40N2O6	[M + H]+	C37H40N2O6	7.344832579476657	7.344832579476657	0.0	6	0.11583050446850855	0.03465335010984155	1.5445156904188977	-7.419883833832805E-4		609.29591	NaN	8_challenge_105_	N/A
1	C32H50O5	[M + H]+	C32H50O5	5.020626710426721	5.020626710426721	0.0	6	0.09694391006945101	20.753548738310734	20.753548738310734	-8.772101005560106E-4		515.37310	NaN	9_challenge_106_	N/A
1	C31H46O5	[M + H]+	C31H46O5	134.82845898672795	134.82845898672795	0.0	28	0.5173626274176114	2.4098482341691123	6.893954219985056	-9.053730383834767E-4		499.34180	NaN	10_challenge_108_	N/A
1	C28H38O5	[M + H]+	C28H38O5	41.395308667877316	41.395308667877316	0.0	15	0.3021544981567105	1.3789648305403608	9.058067085783616	-9.929963918008135E-4		455.27920	NaN	11_challenge_109_	N/A
1	C22H20N2O4	[M + H]+	C22H20N2O4	17.85196132271099	17.85196132271099	0.0	11	0.6962441503476761	-4.8222493971999745	4.8222493971999745	-0.0011987035557413951		377.14958	NaN	12_challenge_11_	N/A
1	C21H18O8	[M + H]+	C21H18O8	7.892974253888734	7.892974253888734	0.0	3	0.018251115015900238	-0.7385367138046836	0.7385367138046836	-0.0011327541254814223		399.10744	NaN	13_challenge_110_	N/A
1	C21H26O4	[M + H]+	C21H26O4	47.45141964349222	47.45141964349222	0.0	13	0.6423615973539606	-0.8215647679716791	2.797436260441484	-0.0013173172166951728		343.19039	NaN	14_challenge_111_	N/A
1	C12H10ClN3O	[M + H]+	C12H10ClN3O	0.14176820028494908	0.14176820028494908	0.0	2	0.09139428364774844	-5.859785978526501	5.859785978526501	-0.0018225157286068938		248.05852	NaN	15_challenge_112_	N/A
1	C21H20O10	[M + H]+	C21H20O10	16.48612184079417	16.48612184079417	0.0	4	0.7791830033119784	-1.5550167703844866	2.6469003516435965	-0.001043817065200286		433.11292	NaN	16_challenge_115_	N/A
1	C20H16O4	[M + H]+	C20H16O4	8.586498900257386	8.586498900257386	0.0	3	0.5401421259771675	-2.4191031911776735	2.4191031911776735	-0.0014078899458084696		321.11213	NaN	17_challenge_116_	N/A
1	C42H70O12	[M + H]+	C42H70O12	26.31105722180036	26.31105722180036	0.0	7	0.11833103519521879	18.992420985158766	18.992420985158766	-5.890477332826733E-4		767.49400	NaN	18_challenge_118_	N/A
1	C45H44O11	[M + H]+	C45H44O11	39.1282752706273	39.1282752706273	0.0	12	0.7271788510909365	-2.490607409963199	3.7282363727069265	-5.938436797405522E-4		761.29564	NaN	19_challenge_119_	N/A
1	C33H53NO8	[M + H]+	C33H53NO8	16.700224446589896	16.700224446589896	0.0	3	0.5421010380999916	-1.7188382116478638	1.7188382116478638	-7.631708301745719E-4		592.38439	NaN	20_challenge_12_	N/A
1	C22H22O8	[M + H]+	C22H22O8	41.29105512469039	41.29105512469039	0.0	12	0.8439100445400151	4.2227581150116595	4.2227581150116595	-0.0010890107301048165		415.13874	NaN	21_challenge_120_	N/A
1	C45H72O16	[M + H]+	C45H72O16	22.128665165140028	22.128665165140028	0.0	8	0.22835176338967317	-3.6950637191032047	3.6950637191032047	-5.199494497897189E-4		869.48931	NaN	22_challenge_121_	N/A
1	C25H28O6	[M + H]+	C25H28O6	22.873486091636813	22.873486091636813	0.0	5	0.7918543809636495	-0.18992718626646343	1.5554674526972434	-0.0010632525873318095		425.19586	NaN	23_challenge_123_	N/A
1	C21H22O4	[M + H]+	C21H22O4	9.881117544141137	9.881117544141137	0.0	4	0.21602413293846612	26.3018355227805	26.3018355227805	-0.0013329750636946092		339.15909	NaN	24_challenge_124_	N/A
1	C42H62O17	[M + H]+	C42H62O17	40.07474137338709	40.07474137338709	0.0	9	0.4598851268114634	-1.7909300752378576	2.8837742370710835	-5.385839698781579E-4		839.40598	NaN	25_challenge_126_	N/A
